data_source,note,code,name,address,city,county,state,zip_code,AOR,date_of_last_use,date_of_first_use,latitude,longitude
locations.csv,"exact latitude, longitude (city)",BERGENJ,BERGEN COUNTY JAIL,160 SOUTH RIVER STREET,HACKENSACK,BERGEN,NJ,7601,NYC,2004-11-17,13/06/1989,40.87387305,-74.03904223
locations.csv,"exact latitude, longitude (city)",BERKSPA,BERKS COUNTY PRISON,1287 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,PHI,2002-08-10,23/07/1986,40.38278,-76.017484
locations.csv,"exact latitude, longitude (city)",BERNANM,BERNALILLO COUNTY DETENTION CENTER,415 ROMA N.W.,ALBUQUERQUE,BERNALILLO,NM,87102,ELP,2002-04-09,25/08/1999,35.08934329,-106.6514373
locations.csv,"exact latitude, longitude (city)",BESECPA,BERKS COUNTY SECURED JUVENILE,1261 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,PHI,22/05/2012,21/11/2000,40.382683,-76.017367
locations.csv,"exact latitude, longitude (city)",BEXARTX,BEXAR COUNTY JAIL,200 N Comal Street,SAN ANTONIO,BEXAR,TX,78207,SNA,22/10/2007,22/10/1983,29.428239,-98.507214
locations.csv,"exact latitude, longitude (city)",BEXJUTX,BEXAR COUNTY JUVENILE,600 MISSION ROAD,SAN ANTONIO,BRAZOS,TX,77803,SNA,30/03/2007,2/2/99,29.395084,-98.490707
locations.csv,"exact latitude, longitude (city)",BFGHITX,"BYRD'S FOSTER GROUP HOME, INC",5708 HARDY ST,HOUSTON,HARRIS,TX,77009,HOU,17/02/2016,17/02/2016,29.81131222,-95.35255014
sarahs research,Latitude Longitude based only on state,BFLHPNY,BUFFALO GENERAL HOSPITAL,,,,NY,,,,,42.1657,-74.9481
locations.csv,"exact latitude, longitude (city)",BHCALCA,ALHAMBRA BHC HOSPITAL,4619 N ROSEMEAD BLVD.,ROSEMEAD,LOS ANGELES,CA,91770,LOS,22/01/2015,2003-07-08,34.0773593,-118.0730467
locations.csv,"exact latitude, longitude (city)",BHCELLA,BHC EAST LAKE (HOSP.),5650 READ BLVD,NEW ORLEANS,ORLEANS PARISH,LA,70127,NOL,15/09/1999,4/6/99,30.03155755,-89.97302219
locations.csv,"exact latitude, longitude (city)",BHFLDMI,BRONSON HOSPITAL FIELDSTONE CENTER,165 N. WASHINGTON AVENUE,BATTLE CREEK,COUNTY,MI,49017,DET,24/01/2014,28/10/2013,42.329924,-85.19158
locations.csv,"exact latitude, longitude (city)",BHMHOLD,BIRMINGHAM HOLD ROOM,"1833 29th Ave S, Birmingham, AL 35209",HOMEWOOD,JEFFERSON,AL,35209,NOL,,,33.479539,-86.79116
sarahs research,Latitude Longitude based only on state,BIDHPMA,BETH ISRAEL DEACONESS HOSP,,,,MA,,,,,42.2302,-71.5301
